Month,san diego airbnb: (Worldwide),los angeles airbnb: (Worldwide),san francisco airbnb: (Worldwide)
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,0,0
2004-05,0,0,0
2004-06,0,0,0
2004-07,0,0,0
2004-08,0,0,0
2004-09,0,0,0
2004-10,0,0,0
2004-11,0,0,0
2004-12,0,0,0
2005-01,0,0,0
2005-02,0,0,0
2005-03,0,0,0
2005-04,0,0,0
2005-05,0,0,0
2005-06,0,0,0
2005-07,0,0,0
2005-08,0,0,0
2005-09,0,0,0
2005-10,0,0,0
2005-11,0,0,0
2005-12,0,0,0
2006-01,0,0,0
2006-02,0,0,0
2006-03,0,0,0
2006-04,0,0,0
2006-05,0,0,0
2006-06,0,0,0
2006-07,0,0,0
2006-08,0,0,0
2006-09,0,0,0
2006-10,0,0,0
2006-11,0,0,0
2006-12,0,0,0
2007-01,0,0,0
2007-02,0,0,0
2007-03,0,0,0
2007-04,0,0,0
2007-05,0,0,0
2007-06,0,0,0
2007-07,0,0,0
2007-08,0,0,0
2007-09,0,0,0
2007-10,0,0,0
2007-11,0,0,0
2007-12,0,0,0
2008-01,0,0,0
2008-02,0,0,0
2008-03,0,0,0
2008-04,0,0,0
2008-05,0,0,0
2008-06,0,0,0
2008-07,0,0,0
2008-08,0,0,0
2008-09,0,0,0
2008-10,0,0,0
2008-11,0,0,0
2008-12,0,0,0
2009-01,0,0,0
2009-02,0,0,0
2009-03,0,0,0
2009-04,0,0,0
2009-05,0,0,0
2009-06,0,0,0
2009-07,0,0,1
2009-08,0,0,0
2009-09,0,0,1
2009-10,0,0,0
2009-11,0,0,3
2009-12,0,0,0
2010-01,0,0,1
2010-02,0,0,2
2010-03,1,0,3
2010-04,0,1,2
2010-05,0,1,2
2010-06,1,1,2
2010-07,1,1,2
2010-08,1,1,3
2010-09,1,1,1
2010-10,0,0,1
2010-11,1,1,4
2010-12,0,1,2
2011-01,1,1,3
2011-02,1,1,3
2011-03,1,1,3
2011-04,0,1,4
2011-05,2,1,4
2011-06,1,1,6
2011-07,1,4,6
2011-08,2,3,21
2011-09,2,4,8
2011-10,1,2,7
2011-11,1,1,6
2011-12,1,2,6
2012-01,2,3,10
2012-02,2,4,11
2012-03,2,4,9
2012-04,2,5,11
2012-05,4,5,14
2012-06,4,5,15
2012-07,4,2,17
2012-08,4,5,19
2012-09,4,7,16
2012-10,3,5,14
2012-11,4,7,15
2012-12,3,9,14
2013-01,4,9,15
2013-02,3,9,17
2013-03,4,11,29
2013-04,5,11,26
2013-05,8,13,29
2013-06,7,13,30
2013-07,10,15,33
2013-08,9,15,33
2013-09,9,13,30
2013-10,7,14,28
2013-11,8,15,24
2013-12,8,19,27
2014-01,14,22,36
2014-02,11,23,35
2014-03,13,25,42
2014-04,14,25,57
2014-05,15,24,47
2014-06,21,26,52
2014-07,25,35,72
2014-08,24,33,68
2014-09,17,25,53
2014-10,14,25,52
2014-11,15,28,43
2014-12,19,25,39
2015-01,24,35,53
2015-02,25,35,62
2015-03,25,39,61
2015-04,25,44,74
2015-05,35,50,77
2015-06,45,51,79
2015-07,45,59,89
2015-08,41,53,90
2015-09,31,44,74
2015-10,26,42,71
2015-11,25,43,78
2015-12,32,50,61
2016-01,33,51,68
2016-02,42,56,75
2016-03,39,58,61
2016-04,44,57,70
2016-05,54,64,84
2016-06,60,70,87
2016-07,61,67,78
2016-08,46,67,72
2016-09,41,58,67
2016-10,38,55,62
2016-11,42,59,65
2016-12,42,55,61
2017-01,49,71,81
2017-02,52,76,81
2017-03,70,81,88
2017-04,66,82,77
2017-05,69,81,81
2017-06,90,88,98
2017-07,89,97,94
2017-08,66,93,92
2017-09,59,77,78
2017-10,53,72,74
2017-11,50,74,67
2017-12,57,71,63
2018-01,77,98,100
2018-02,80,96,92
2018-03,76,98,89
2018-04,73,95,91
2018-05,83,92,86
2018-06,94,92,87
2018-07,99,97,98
2018-08,82,95,86
2018-09,58,77,69
2018-10,56,69,63
2018-11,51,70,58
2018-12,55,82,61